id,reactino,gene_reaction_rule
GCF_000160535.1,14GLUCANabcpp,WP_007172921_1
GCF_000160535.1,2AGPEAT120,G_WP_007173195_1 or WP_007175083_1
GCF_000160535.1,2AGPEAT140,G_WP_007173195_1 or WP_007175083_1
GCF_000160535.1,2AGPEAT141,G_WP_007173195_1 or WP_007175083_1
GCF_000160535.1,2AGPEAT160,G_WP_007173195_1 or WP_007175083_1
GCF_000160535.1,2AGPEAT161,G_WP_007173195_1 or WP_007175083_1
GCF_000160535.1,2AGPEAT180,G_WP_007173195_1 or WP_007175083_1
GCF_000160535.1,2AGPEAT181,G_WP_007173195_1 or WP_007175083_1
GCF_000160535.1,2AGPGAT120,G_WP_007173195_1 or WP_007175083_1
GCF_000160535.1,2AGPGAT140,G_WP_007173195_1 or WP_007175083_1
GCF_000160535.1,2AGPGAT141,G_WP_007173195_1 or WP_007175083_1
GCF_000160535.1,2AGPGAT160,G_WP_007173195_1 or WP_007175083_1
GCF_000160535.1,2AGPGAT161,G_WP_007173195_1 or WP_007175083_1
GCF_000160535.1,2AGPGAT180,G_WP_007173195_1 or WP_007175083_1
GCF_000160535.1,2AGPGAT181,G_WP_007173195_1 or WP_007175083_1
GCF_000160535.1,2DGLCNRx,WP_007173996_1
GCF_000160535.1,2DGLCNRy,WP_007173996_1
GCF_000160535.1,2S6HCCi,WP_007173722_1
GCF_000160535.1,3hoxpactex,WP_007175392_1
GCF_000160535.1,3HPAOX,WP_007173729_1
GCF_000160535.1,3MBtex,WP_007173614_1
GCF_000160535.1,3NUCLE1,WP_044123099_1
GCF_000160535.1,3NUCLE2,WP_044123099_1
GCF_000160535.1,3NUCLE3,WP_044123099_1
GCF_000160535.1,3NUCLE4,WP_044123099_1
GCF_000160535.1,3OAR100,WP_044123183_1
GCF_000160535.1,3OAR120,WP_044123183_1
GCF_000160535.1,3OAR121,WP_044123183_1
GCF_000160535.1,3OAR140,WP_044123183_1
GCF_000160535.1,3OAR141,WP_044123183_1
GCF_000160535.1,3OAR160,WP_044123183_1
GCF_000160535.1,3OAR161,WP_044123183_1
